	lemma	word	aspect	disambig	db_id	text	Gender	Mood	Number	POS	Person	Tense	VerbForm	Voice	l_tok_3	l_tok_2	l_tok_1	r_tok_1	r_tok_2	r_tok_3	l_gr_1	l_gr_2	l_gr_3	r_gr_1	r_gr_2	r_gr_3	nsubj	nsubj_count	obj	obj_count	obl	obl_count	advmod	advmod_count	polarity	polarity_word
11	baviti	bavi	imp	imp	set-s3365	S obzirom da se IZ konstantno bavi pitanjima nepravilnog tumačenja vere, nasilja i mržnje, mnogi se pitaju kako je takav čin mogao da se odigra u zemlji u kojoj verske zajednice propovedaju suživot.		Ind	Sing	VERB	3	Pres	Fin		se	IZ	konstantno	pitanjima	nepravilnog	tumačenja	b	a	v	i	v	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
12	baviti	bavi	imp	imp	set-s3827	Razgovori su uključivali i turski cilj da se zemlja bavi balkanskim problemima i bolje sarađuje sa regionom, rekao je Davutoglu.		Ind	Sing	VERB	3	Pres	Fin		da	se	zemlja	balkanskim	problemima	i	b	a	v	i	v	a	zemlja	1	[PAD]	0	problemima	1	[PAD]	0	pos	[PAD]
13	baviti	bavi	imp	imp	news-s444	Profesionalni hakeri poput njega, kao i razni drugi stručnjaci za bezbednost u IT oblasti svake godine prisustvuju Blek Het bezbednosnoj konferenciji, koja se upravo bavi ranjivošću modernih tehnologija.		Ind	Sing	VERB	3	Pres	Fin		koja	se	upravo	ranjivošću	modernih	tehnologija	b	a	v	i	v	a	koja	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
14	baviti	bavio	imp	imp	set-s3143	Posle višedecenijskog egzila, kurdski intelektualac i političar Kemal Burkaj vratio se u domovinu kako bi se bavio mirovnim aktivnostima.	Masc		Sing	VERB		Past	Part	Act	kako	bi	se	mirovnim	aktivnostima	[PAD]	b	a	v	o	i	v	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
15	birati	biraju	imp	imp	set-s96	U mnogim debatama zaključeno je da ustav mora da bude promenjen, čime bi se omogućilo da sledećeg predsednika biraju građani, a ne politički podeljeni parlament.		Ind	Plur	VERB	3	Pres	Fin		da	sledećeg	predsednika	građani	a	ne	b	i	r	u	j	a	građani	1	predsednika	1	[PAD]	0	[PAD]	0	pos	[PAD]
16	birati	biraju	imp	imp	set-s3721	Nacionalni referendum u septembru o davanju građanima prava da biraju predsednika direktnim glasanjem na izborima propao je zbog male izlaznosti.		Ind	Plur	VERB	3	Pres	Fin		građanima	prava	da	predsednika	direktnim	glasanjem	b	i	r	u	j	a	[PAD]	0	predsednika	1	[PAD]	0	[PAD]	0	pos	[PAD]
17	birati	biraju	imp	imp	news-s95	Uočeno je da autistični miševi biraju više vremena da provode sami, odnosno u blizini praznog kaveza.		Ind	Plur	VERB	3	Pres	Fin		da	autistični	miševi	više	vremena	da	b	i	r	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
18	birati	biraju	imp	imp	news-s307	Možda je taj predsednik zaista grozan onoliko koliko nas u to svakog dana uveravaju na Si-En-Enu, ali njegov izbor ipak predstavlja dokaz da predsednika zaista biraju građani i da je vlast u Americi iz korena smenjiva.		Ind	Plur	VERB	3	Pres	Fin		da	predsednika	zaista	građani	i	da	b	i	r	u	j	a	građani	1	predsednika	1	[PAD]	0	[PAD]	0	pos	[PAD]
19	birati	birali	imp	imp	news-s96	S druge strane, miševi koji su prošli serotoninsku terapiju su birali društvo i išli bi ka kavezu sa drugim jedinkama.	Masc		Plur	VERB		Past	Part	Act	serotoninsku	terapiju	su	društvo	i	išli	b	i	r	i	l	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
20	birati	birali	imp	imp	news-s305	I oni su apolitični, ako se pod tim podrazumeva da ih Amerikanci nisu direktno, na izborima, birali na važne položaje sa kojih bitno utiču na politiku zemlje.	Masc		Plur	VERB		Past	Part	Act	direktno	na	izborima	na	važne	položaje	b	i	r	i	l	a	[PAD]	0	ih	1	izborima	1	[PAD]	0	neg	nisu
21	biti	Bilo	both	imp	news-s50	Ah, da, antologijski film Serđa Leonea, Bilo jednom na Divljem zapadu.	Neut		Sing	VERB		Past	Part	Act	film	Serđa	Leonea	jednom	na	Divljem	b	i	l	o	l	i	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
22	biti	bilo	both	imp	news-s51	Na Divljem zapadu nekad bilo.	Neut		Sing	VERB		Past	Part	Act	Divljem	zapadu	nekad	[PAD]	[PAD]	[PAD]	b	i	l	o	l	i	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
23	biti	biće	both	imp	set-s217	Sledeća tri meseca biće od presudnog značaja za kandidaturu Hrvatske da postane 28. članica EU, kako se ta zemlja nada, 2010. godine, naglasio je jedan visoki zvaničnik Evropske komisije (EK) u utorak (8. aprila) i pozvao Zagreb da ubrza reforme.		Ind	Sing	VERB	3	Fut	Fin		Sledeća	tri	meseca	od	presudnog	značaja	b	i	ć	e	ć	i	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
24	biti	biće	both	perf	set-s3487	"Drugim rečima, mnogo više ljudi biće u mogućnosti da dobije kredite, što će dovesti do kredita sa manjim troškovima."		Ind	Plur	VERB	3	Fut	Fin		mnogo	više	ljudi	u	mogućnosti	da	b	i	ć	e	ć	i	ljudi	1	[PAD]	0	rečima	1	[PAD]	0	pos	[PAD]
25	biti	jeste	both	imp	news-s52	U Srbiji još uvek jeste.		Ind	Sing	VERB	3	Pres	Fin		Srbiji	još	uvek	[PAD]	[PAD]	[PAD]	j	e	s	e	t	s	[PAD]	0	[PAD]	0	srbiji	1	uvek	1	pos	[PAD]
26	blokirati	blokira	imp	imp	set-s1843	Ako bi SDS odlučila da blokira reformu policije i samim tim evropsku budućnost BiH, ta stranka i entitet bosanskih Srba izabrali bi "put izolacije i stagnacije", upozorila je Ešdaunova kancelarija.		Ind	Sing	VERB	3	Pres	Fin		SDS	odlučila	da	reformu	policije	i	b	l	o	a	r	i	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
27	blokirati	blokira	imp	imp	set-s3538	"Slovenačka vlada će predložiti parlamentarnom odboru za spoljnu politiku i pitanja EU da Slovenija prestane da blokira pregovore Hrvatske o pridruživanju EU", reklo je dvoje lidera u saopštenju posle sastanka.		Ind	Sing	VERB	3	Pres	Fin		Slovenija	prestane	da	pregovore	Hrvatske	o	b	l	o	a	r	i	[PAD]	0	pregovore	1	[PAD]	0	[PAD]	0	pos	[PAD]
28	blokirati	blokiraju	imp	imp	set-s1787	On je, međutim, takođe rekao da se Ankara ne može nadati ulasku u EU sve dok bude držala hiljade turskih vojnika stacioniranih na severu Kipra, kao i da kiparski Grci mogu da nastave da blokiraju proces pridruživanja Turske.		Ind	Plur	VERB	3	Pres	Fin		da	nastave	da	proces	pridruživanja	Turske	b	l	o	u	j	a	[PAD]	0	proces	1	[PAD]	0	[PAD]	0	pos	[PAD]
29	blokirati	blokiraju	imp	imp	set-s3156	"Ko god doprinosi rešavanju tog pitanja trebalo bi da bude podržan i moramo da izbegavamo one koji pokušavaju da blokiraju taj mirovni pokret", izjavio je on.		Ind	Plur	VERB	3	Pres	Fin		koji	pokušavaju	da	taj	mirovni	pokret	b	l	o	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
30	blokirati	blokirala	imp	imp	set-s781	Zvaničnici ministarstva odmah su evakuisani, a policija je blokirala zgradu.	Fem		Sing	VERB		Past	Part	Act	a	policija	je	zgradu	[PAD]	[PAD]	b	l	o	a	l	a	policija	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
31	blokirati	blokirala	imp	imp	set-s3048	Makedonska policija blokirala je put u blizini policijske stanice u Skoplju ispred koje je u petak (15. jula) eksplodirala bomba.	Fem		Sing	VERB		Past	Part	Act	[PAD]	Makedonska	policija	je	put	u	b	l	o	a	l	a	policija	1	put	1	[PAD]	0	[PAD]	0	pos	[PAD]
32	blokirati	blokirali	imp	imp	set-s704	Više stotina policajaca UN i pripadnika KFOR-a učestvovalo je, kako se izveštava, u operaciji izvedenoj u ponedeljak u zoru, koja je pokrenuta nakon što su francuski mirovni vojnici blokirali puteve koji vode ka sudskom kompleksu na severu Mitrovice, u kojem većinom žive Srbi.	Masc		Plur	VERB		Past	Part	Act	francuski	mirovni	vojnici	puteve	koji	vode	b	l	o	i	l	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
33	blokirati	blokirali	imp	imp	set-s1640	Međutim drugi su ga blokirali, uključujući Komisiju za hartije od vrednosti, lobiste i strane ambasade.	Masc		Plur	VERB		Past	Part	Act	drugi	su	ga	uključujući	Komisiju	za	b	l	o	i	l	a	drugi	1	ga	1	[PAD]	0	[PAD]	0	pos	[PAD]
34	blokirati	blokirao	imp	imp	set-s239	U ponedeljak, predsednik Branko Crvenkovski razgovarao je sa generalnim sekretarom NATO-om Japom de Hopom Sheferom, koji je ponovio da je pomenuti spor blokirao poziv Makedoniji.	Masc		Sing	VERB		Past	Part	Act	je	pomenuti	spor	poziv	Makedoniji	[PAD]	b	l	o	o	a	r	[PAD]	0	poziv	1	[PAD]	0	[PAD]	0	pos	[PAD]
35	blokirati	blokirati	imp	imp	set-s2309	Najveća lokalna albanska stranka, Demokratska unija za integraciju (DUI), saopštila je da neće prihvatiti presudu i da će blokirati svaki pokušaj uklanjanja zastava.				VERB			Inf		i	da	će	svaki	pokušaj	uklanjanja	b	l	o	i	t	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
36	boraviti	boravi	imp	imp	set-s2369	Takođe u diplomatskim vestima: turski premijer Redžep Tajip Erdogan boravi u Španiji na forumu Alijanse civilizacija.		Ind	Sing	VERB	3	Pres	Fin		Redžep	Tajip	Erdogan	u	Španiji	na	b	o	r	i	v	a	premijer	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
37	boraviti	boravi	imp	imp	set-s2825	Ministar inostranih poslova Bosne i Hercegovine (BiH) Sven Alkalaj boravi u petodnevnoj poseti jugoistočnoj Aziji sa delegacijom visokih zvaničnika i biznismena.		Ind	Sing	VERB	3	Pres	Fin		BiH	Sven	Alkalaj	u	petodnevnoj	poseti	b	o	r	i	v	a	ministar	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
38	boraviti	boravila	imp	imp	set-s2655	Predsednica albanskog parlamenta Jozefina Topali boravila je u četvrtak (18. decembar) u Francuskoj promovišući bolje uslove poslovanja u svojoj zemlji.	Fem		Sing	VERB		Past	Part	Act	parlamenta	Jozefina	Topali	je	u	četvrtak	b	o	r	a	l	i	[PAD]	0	[PAD]	0	četvrtak	1	[PAD]	0	pos	[PAD]
39	boraviti	boravila	imp	imp	set-s2833	Markulis, koja je boravila u Siriji u sklopu svoje bliskoistočne turneje, obavestila je sirijskog predsednika o najnovijim kretanjima vezanim za Kipar.	Fem		Sing	VERB		Past	Part	Act	Markulis	koja	je	u	Siriji	u	b	o	r	a	l	i	koja	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
40	boraviti	boravio	imp	imp	set-s2381	Srpski ministar inostranih poslova Vuk Jeremić boravio je u četvrtak (10. januara) u Berlinu, gde je razgovarao sa nemačkim kolegom Frankom-Valterom Štajnmajerom.	Masc		Sing	VERB		Past	Part	Act	poslova	Vuk	Jeremić	je	u	četvrtak	b	o	r	o	i	v	ministar	1	[PAD]	0	četvrtak	1	[PAD]	0	pos	[PAD]
41	boraviti	boravio	imp	imp	set-s2646	Irski premijer Brajan Kauen boravio je ove nedelje na Kosovu, gde je posetio irske trupe u sastavu UNMIK-a i sastao se sa kosovskim liderima.	Masc		Sing	VERB		Past	Part	Act	premijer	Brajan	Kauen	je	ove	nedelje	b	o	r	o	i	v	premijer	1	[PAD]	0	nedelje, kosovu	2	[PAD]	0	pos	[PAD]
42	boraviti	boravio	imp	imp	set-s2823	Srpski ministar unutrašnjih poslova Dragan Jočić i njegov bugarski kolega Rumen Petkov, koji je boravio u poseti Srbiji, potpisali su u ponedeljak (12. novembra) sporazum o saradnji na polju kontrole granica.	Masc		Sing	VERB		Past	Part	Act	Petkov	koji	je	u	poseti	Srbiji	b	o	r	o	i	v	koji	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
43	boraviti	boravio	imp	imp	set-s3148	Pošto mu se u Turskoj sudilo zbog njegovih političkih stavova i aktivnosti, dobio je azil u Švedskoj, gde je od tada boravio.	Masc		Sing	VERB		Past	Part	Act	je	od	tada	[PAD]	[PAD]	[PAD]	b	o	r	o	i	v	[PAD]	0	[PAD]	0	[PAD]	0	gde, tada	2	pos	[PAD]
44	boraviti	boravio	imp	imp	set-s3765	Bil Gejts je boravio u Atini povodom otvaranja novog "inovativnog centra" tog softverskog giganta.	Masc		Sing	VERB		Past	Part	Act	Bil	Gejts	je	u	Atini	povodom	b	o	r	o	i	v	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
45	boraviti	boravio	imp	imp	set-s3768	Osnivač Majkrosofta Bil Gejts boravio je u ponedeljak (28. januar) u Atini povodom otvaranja novog "inovativnog centra".	Masc		Sing	VERB		Past	Part	Act	Majkrosofta	Bil	Gejts	je	u	ponedeljak	b	o	r	o	i	v	[PAD]	0	[PAD]	0	ponedeljak	1	[PAD]	0	pos	[PAD]
46	boraviti	boraviće	imp	imp	set-s2376	Ruski predsednik Vladimir Putin boraviće u Bugarskoj u četvrtak (17. januara) i petak.		Ind	Sing	VERB	3	Fut	Fin		predsednik	Vladimir	Putin	u	Bugarskoj	u	b	o	r	e	ć	i	predsednik	1	[PAD]	0	četvrtak	1	[PAD]	0	pos	[PAD]
47	boriti	bore	imp	imp	set-s421	"Vlasti u Prištini uvek su izražavale svoju spremnost i rešenost da se beskompromisno bore protiv krijumčarenja narkotika", kaže Mloja, dodajući da su te vlasti mogle upravo to da kažu Ivanovu.		Ind	Plur	VERB	3	Pres	Fin		da	se	beskompromisno	protiv	krijumčarenja	narkotika	b	o	r	e	r	o	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
48	boriti	bori	imp	imp	set-s3264	Upitan da li će Vojska Srbije zaštititi Srbe, Šutanovac je rekao da je stav Srbije da se za Kosovo bori miroljubivim i diplomatskim sredstvima.		Ind	Sing	VERB	3	Pres	Fin		se	za	Kosovo	miroljubivim	i	diplomatskim	b	o	r	i	r	o	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
49	boriti	bori	imp	imp	set-s3745	Za ukupno 101 mesto u parlamentu bori se dvadeset partija i 19 nezavisnih kandidata.		Ind	Sing	VERB	3	Pres	Fin		mesto	u	parlamentu	se	dvadeset	partija	b	o	r	i	r	o	partija	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
50	boriti	bori	imp	imp	news-s313	Vratio se makartizam, samo su progonitelji sada iz liberalne elite i oni kontrolišu frakciju u državi koja se otela od države i bori se protiv izabrane vlasti.		Ind	Sing	VERB	3	Pres	Fin		od	države	i	se	protiv	izabrane	b	o	r	i	r	o	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
51	boriti	borila	imp	imp	news-s306	Čitava ta „duboka država” (londonski Ekonomist tvrdi da izraz izvorno potiče iz Turske, gde „derin devlet” označava grupu penzionisanih generala koja se iza kulisa borila da svim sredstvima očuva sekularnu državu i porazi komunizam, ne prezajući ni od kontakata sa gangsterima) danas radi na tome da iz Bele kuće istera 45. američkog predsednika koji je izabran suprotno volji elite - političke, vojne, medijske, svake moguće vašingtonske elite, uključujući tu i stranku čiji je kandidat bio.	Fem		Sing	VERB		Past	Part	Act	se	iza	kulisa	da	svim	sredstvima	b	o	r	a	l	i	koja	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
52	boriti	borimo	imp	imp	set-s3042	"Imamo obavezu da se borimo do poslednjeg momenta za prijem u EU i da prevaziđemo krizu izazvanu poplavama", izjavio je lider opozicione Socijaldemokratske partije, bivši ministar inostranih poslova Mirča Đoana, a prenosi Rojters.		Ind	Plur	VERB	1	Pres	Fin		obavezu	da	se	do	poslednjeg	momenta	b	o	r	o	m	i	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
53	boriti	borio	imp	imp	set-s81	"On nikada nije isticao jedan narod, nego se borio za zemlju, za BiH.	Masc		Sing	VERB		Past	Part	Act	narod	nego	se	za	zemlju	za	b	o	r	o	i	r	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
54	boriti	borio	imp	imp	set-s266	Ministarstvo unutrašnjih poslova veruje da je jedan od tih pet osumnjičenih, Rijad Rustempašić, bio vođa, dok se drugi, Edis Velić, navodno borio u Čečeniji.	Masc		Sing	VERB		Past	Part	Act	Edis	Velić	navodno	u	Čečeniji	[PAD]	b	o	r	o	i	r	drugi	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
55	brinuti	brine	imp	imp	set-s50	Prema rečima predsednice makedonskog ogranka Transparensi Internešnala Slađane Taseve, više brine to što je vlada zamrzla i zaplenila sredstva A1 TV.		Ind	Sing	VERB	3	Pres	Fin		Slađane	Taseve	više	to	što	je	b	r	i	e	n	i	[PAD]	0	[PAD]	0	rečima	1	više	1	pos	[PAD]
56	brinuti	brine	imp	imp	set-s552	Ono što najviše brine je mali broj slučajeva koji završavaju na sudu i još manji broj presuda protiv tužene strane.		Ind	Sing	VERB	3	Pres	Fin		Ono	što	najviše	je	mali	broj	b	r	i	e	n	i	što	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
57	brinuti	brine	imp	imp	set-s3308	Međutim, vladu više brine inflacija.		Ind	Sing	VERB	3	Pres	Fin		Međutim	vladu	više	inflacija	[PAD]	[PAD]	b	r	i	e	n	i	[PAD]	0	vladu	1	[PAD]	0	više	1	pos	[PAD]
58	brinuti	brinu	imp	imp	set-s3259	Bezbednosni eksperti i vladini zvaničnici brinu da bi dvostruka kriza -- situacija na severu Kosova i organizovani kriminal -- mogla da izazove nerede.		Ind	Plur	VERB	3	Pres	Fin		i	vladini	zvaničnici	da	bi	dvostruka	b	r	i	u	n	i	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
59	brinuti	brinuli	imp	imp	set-s3317	Analitičari su brinuli da bi domaća valuta mogla da izmakne kontroli i time nanese štetu ionako krhkoj srpskoj ekonomiji.	Masc		Plur	VERB		Past	Part	Act	[PAD]	Analitičari	su	da	bi	domaća	b	r	i	i	l	u	analitičari	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
60	dati	da	perf	perf	set-s567	Sektor unutrašnje kontrole ministarstva unutrašnih poslova odbio je u više navrata da da svoje mišljenje o situaciji u oblasti ljudskih prava.		Ind	Sing	VERB	3	Pres	Fin		u	više	navrata	da	svoje	mišljenje	d	a	[PAD]	a	d	[PAD]	[PAD]	0	mišljenje	1	[PAD]	0	[PAD]	0	pos	[PAD]
61	dati	da	perf	perf	set-s3399	"Tražili smo od ministarstva odbrane da da neke neiskorišćene kasarne, koje bismo pretvorili u centar za azilante", rekao je komesar za izbeglice Vladimir Cucić za SETimes.		Ind	Sing	VERB	3	Pres	Fin		od	ministarstva	odbrane	da	neke	neiskorišćene	d	a	[PAD]	a	d	[PAD]	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
62	dati	daju	perf	perf	set-s187	Zemlje vode političke elite koje daju prednost saradnji umesto sukobima.		Ind	Plur	VERB	3	Pres	Fin		političke	elite	koje	prednost	saradnji	umesto	d	a	j	u	j	a	koje	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
63	dati	daju	perf	perf	set-s640	Rumunska vlada je u sredu (23. juna) usvojila hitnu uredbu kojom će se povećati deo profita koji državne kompanije moraju da daju u javni budžet, i sprovesti novi porezi za pojedince.		Ind	Plur	VERB	3	Pres	Fin		kompanije	moraju	da	u	javni	budžet	d	a	j	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
64	dati	daju	perf	perf	set-s641	Prema novim pravilima, državne firme moraju da daju do 90 odsto svog profita za budžet, u poređenju sa trenutnih 50 procenata.		Ind	Plur	VERB	3	Pres	Fin		firme	moraju	da	do	90	odsto	d	a	j	u	j	a	[PAD]	0	[PAD]	0	poređenju	1	[PAD]	0	pos	[PAD]
65	dati	daju	perf	perf	set-s1393	Političari na obe strane moraju da pokažu hrabrost i daju doprinos da se situacija reši, u suprotnom, ona će ometati procese evrointegracija njihovih zemalja.		Ind	Plur	VERB	3	Pres	Fin		pokažu	hrabrost	i	doprinos	da	se	d	a	j	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
66	dati	daju	perf	perf	set-s3227	Predstavnici Demokratske stranke Srbije (DSS) glasali su protiv zastave, ukazujući da se tom odlukom Vojvodini daju elementi državnosti.		Ind	Plur	VERB	3	Pres	Fin		tom	odlukom	Vojvodini	elementi	državnosti	[PAD]	d	a	j	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
67	dati	daju	perf	perf	set-s3728	"Dobro je što su izašli da ljudima daju više informacija", kaže Valentina Bolokan (52) iz Kišinjeva, majka troje dece.		Ind	Plur	VERB	3	Pres	Fin		izašli	da	ljudima	više	informacija	kaže	d	a	j	u	j	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
68	dati	daju	perf	perf	set-s3791	"Nepisani sporazum sa MMF-om je da može da bude 50 centi do jednog evra koje Evropljani sami daju za takve operacije, kao što je, na primer, bilo u slučaju Grčke i Irske", rekao je Ren.		Ind	Plur	VERB	3	Pres	Fin		koje	Evropljani	sami	za	takve	operacije	d	a	j	u	j	a	[PAD]	0	koje	1	[PAD]	0	[PAD]	0	pos	[PAD]
69	dati	dala	perf	perf	set-s1146	EU dala Turskoj dve nedelje da ispoštuje trgovinske obaveze prema Kipru	Fem		Sing	VERB		Past	Part	Act	[PAD]	[PAD]	EU	Turskoj	dve	nedelje	d	a	l	a	l	a	eu	1	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
70	dati	dala	perf	perf	set-s1167	U međuvremenu, Turska je dala do znanja da ne planira da ukine svoj embargo.	Fem		Sing	VERB		Past	Part	Act	međuvremenu	Turska	je	do	znanja	da	d	a	l	a	l	a	turska	1	[PAD]	0	međuvremenu	1	[PAD]	0	pos	[PAD]
71	dati	dala	perf	perf	set-s2725	Sličnu izjavu dala je Sara Lam, predstavnica Američke kancelarije u Prištini.	Fem		Sing	VERB		Past	Part	Act	[PAD]	Sličnu	izjavu	je	Sara	Lam	d	a	l	a	l	a	[PAD]	0	[PAD]	0	[PAD]	0	[PAD]	0	pos	[PAD]
